"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Script Source"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Views","Show View (Hierarchy)","Alt+Shift+Q, T","JavaScript View"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Script Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","Editing Script Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Window","Activate Editor","F12","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"File","Refresh","F5","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Edit","Context Information","Alt+?","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Uncategorized","XML Format","Ctrl+Shift+F","Editing Text"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Script Source"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
